ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Support
4942093221,10 mars 2021 à 21:53:16,Course à pied dans l'après-midi,Course à pied,,261686,"3,72",,,false,,,activities/4942093221.gpx,,,261686.0,3246.0,3721.89990234375,3.4000000953674316,1.146611213684082,6.0,7.099999904632568,7.199999809265137,14.199999809265137,4.400000095367432,-0.02955479733645916,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3727.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4942245602,13 mars 2021 à 22:35:02,Course à pied dans l'après-midi,Course à pied,,2852,"3,00",,,false,,,activities/4942245602.gpx,,,2852.0,1930.0,3004.39990234375,2.799999952316284,1.556683897972107,34.70000076293945,32.099998474121094,6.699999809265137,38.20000076293945,48.70000076293945,0.08653974533081055,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3228.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4970073423,18 mars 2021 à 22:36:52,Course à pied en soirée,Course à pied,"",2894,"5,42",,,false,,,activities/4970073423.gpx,,,2894.0,1631.0,5426.0,27.100000381469727,3.3267934322357178,9.552156448364258,103.55216217041016,8.0,102.9000015258789,5.400000095367432,-1.732399582862854,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5429.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,""
4975080893,19 mars 2021 à 23:06:18,Course à pied le soir,Course à pied,,1573,"2,06",,,false,,,activities/4975080893.gpx,,,1573.0,1367.0,2061.0,4.800000190734863,1.5076810121536255,4.384090900421143,5.184091091156006,6.199999809265137,13.199999809265137,8.199999809265137,-0.03881610929965973,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2066.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4988140762,21 mars 2021 à 22:30:26,Course à pied le soir,Course à pied,,3833,"3,81",,,false,,,activities/4988140762.gpx,,,3833.0,2465.0,3815.800048828125,2.5,1.5479918718338013,3.9437499046325684,9.643750190734863,6.699999809265137,12.800000190734863,4.199999809265137,-0.14937889575958252,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3811.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5022008823,27 mars 2021 à 21:36:34,Course à pied dans l'après-midi,Course à pied,,1996,"3,55",,,false,,,activities/5022008823.gpx,,,1996.0,1097.0,3551.60009765625,16.399999618530273,3.2375569343566895,28.896448135375977,32.59640121459961,62.099998474121094,84.0999984741211,13.5,-0.10417839884757996,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3607.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,""
5033871951,29 mars 2021 à 21:11:10,Course à pied dans l'après-midi,Course à pied,,2427,"3,23",,,false,,,activities/5033871951.gpx,,,2427.0,2427.0,3236.10009765625,3.799999952316284,1.3333745002746582,7.0969696044921875,5.0969696044921875,7.199999809265137,14.300000190734863,3.200000047683716,0.061802785843610764,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3247.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5040583628,30 mars 2021 à 20:41:21,Course à pied dans l'après-midi,Course à pied,,7856,"3,23",,,false,,,activities/5040583628.gpx,,,7856.0,2690.0,3231.300048828125,2.799999952316284,1.2012267112731934,7.2302327156066895,5.830232620239258,7.0,14.300000190734863,4.699999809265137,0.04332621395587921,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3240.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5163134545,19 avr. 2021 à 19:46:43,Course à pied dans l'après-midi,Course à pied,,92360,"3,12",,,false,,,activities/5163134545.gpx,,,92360.0,2429.0,3125.5,3.0,1.2867435216903687,7.230769157409668,7.230769157409668,5.900000095367432,13.199999809265137,3.0999999046325684,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3132.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5163278831,20 avr. 2021 à 21:26:09,Course à pied dans l'après-midi,Course à pied,,2251,"3,84",,,false,,,activities/5163278831.gpx,,,2251.0,1869.0,3841.699951171875,7.300000190734863,2.0554842948913574,7.481818199157715,7.3818182945251465,6.099999904632568,13.699999809265137,8.5,0.0026030142325907946,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3855.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
